Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.13219","Klebsiella pneumoniae KPN1239ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67247","Klebsiella pneumoniae ERR7221225","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13854","Klebsiella pneumoniae KPN2026ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13210","Klebsiella pneumoniae KPN1220ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.46870","Klebsiella pneumoniae KP-82LU","meropenem","Resistant","=64","=","64","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
573,"573.13161","Klebsiella pneumoniae KPN1166ec","meropenem","Resistant","8",,"8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.24404","Klebsiella pneumoniae strain MUGSI_34","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.14079","Klebsiella pneumoniae KPN354ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.29878","Klebsiella pneumoniae strain Kpngiani7132576","meropenem","Resistant","64",,"64","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.29991","Klebsiella pneumoniae strain Kpngiani7132550","meropenem","Resistant",">128",">","128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.24413","Klebsiella pneumoniae strain MUGSI_45","meropenem","Resistant","4",">=","4","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.5765","Klebsiella pneumoniae strain 22_GR_12","meropenem","Resistant",">=8",">=","8","mg/L","Broth dilution",,,,"CLSI",2016,,,,"Laboratory Method",,"29431605"
573,"573.13866","Klebsiella pneumoniae KPN2040ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.66142","Klebsiella pneumoniae ERR1841001","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13923","Klebsiella pneumoniae KPN2103ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.20063","Klebsiella pneumoniae strain AR_0097","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.13746","Klebsiella pneumoniae KPN1882ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12777","Klebsiella pneumoniae strain AR_0120","meropenem","Resistant",">16",">","16","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.66168","Klebsiella pneumoniae ERR2118038","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13095","Klebsiella pneumoniae KPN1087ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.29867","Klebsiella pneumoniae strain Kpngiani7132557","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.29891","Klebsiella pneumoniae strain Kpngiani7132583","meropenem","Resistant","16",,"16","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.67312","Klebsiella pneumoniae ERR7221322","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.30017","Klebsiella pneumoniae strain Kpngiani7132538","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.13971","Klebsiella pneumoniae KPN224ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
